type,quantity_fp,market_ticker,side,entry_price_dollars,exit_price_dollars,open_fees_dollars,close_fees_dollars,realized_pnl_without_fees_dollars,realized_pnl_with_fees_dollars,close_timestamp,open_timestamp
trade,9.00,KXAAAGASD-26JUL21-4.020,yes,0.7600,0.6000,0.000000,0.000000,-1.440000,-1.440000,2026-07-20T14:06:47-04:00,2026-07-20T13:45:05-04:00
trade,9.00,KXAAAGASD-26JUL21-4.020,yes,0.6400,0.6000,0.000000,0.000000,-0.360000,-0.360000,2026-07-20T14:06:47-04:00,2026-07-20T13:50:04-04:00
trade,1.00,KXAAAGASD-26JUL21-4.010,yes,0.8900,0.8600,0.000000,0.008500,-0.030000,-0.038500,2026-07-20T14:20:38-04:00,2026-07-20T13:45:26-04:00
trade,2.00,KXAAAGASD-26JUL21-4.010,yes,0.8900,0.8600,0.000000,0.016900,-0.060000,-0.076900,2026-07-20T14:21:49-04:00,2026-07-20T13:45:26-04:00
trade,5.00,KXAAAGASD-26JUL21-4.010,yes,0.8900,0.8600,0.000000,0.042200,-0.150000,-0.192200,2026-07-20T14:21:49-04:00,2026-07-20T13:45:26-04:00
trade,0.69,KXAAAGASD-26JUL21-4.020,yes,0.6400,0.5800,0.000000,0.011768,-0.041400,-0.053168,2026-07-20T14:21:51-04:00,2026-07-20T13:50:04-04:00
trade,0.02,KXAAAGASD-26JUL21-4.020,yes,0.6400,0.5800,0.000000,0.000341,-0.001200,-0.001541,2026-07-20T14:21:51-04:00,2026-07-20T13:51:21-04:00
trade,8.29,KXAAAGASD-26JUL21-4.020,yes,0.5900,0.5800,0.000000,0.141390,-0.082900,-0.224290,2026-07-20T14:21:51-04:00,2026-07-20T14:03:10-04:00
trade,3.71,KXAAAGASD-26JUL21-4.020,yes,0.5900,0.5800,0.000000,0.063348,-0.037100,-0.100448,2026-07-20T14:21:51-04:00,2026-07-20T14:03:10-04:00
trade,2.00,KXAAAGASD-26JUL21-4.025,no,0.5200,0.5000,0.000000,0.035000,-0.040000,-0.075000,2026-07-20T14:21:52-04:00,2026-07-20T13:54:24-04:00
trade,3.00,KXAAAGASD-26JUL21-4.025,no,0.5200,0.4900,0.000000,0.052500,-0.090000,-0.142500,2026-07-20T14:21:54-04:00,2026-07-20T13:54:24-04:00
trade,1.12,KXAAAGASD-26JUL21-4.025,no,0.5200,0.4900,0.000000,0.019592,-0.033600,-0.053192,2026-07-20T14:21:54-04:00,2026-07-20T13:54:24-04:00
trade,13.88,KXAAAGASD-26JUL21-4.025,no,0.5200,0.4900,0.000000,0.242807,-0.416400,-0.659207,2026-07-20T14:21:54-04:00,2026-07-20T14:03:32-04:00
trade,3.67,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1700,0.000000,0.036300,-0.073400,-0.109700,2026-07-20T14:21:55-04:00,2026-07-20T14:00:16-04:00
trade,1.00,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1600,0.000000,0.009500,-0.030000,-0.039500,2026-07-20T14:21:56-04:00,2026-07-20T14:00:16-04:00
trade,1.00,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1600,0.000000,0.009500,-0.030000,-0.039500,2026-07-20T14:21:56-04:00,2026-07-20T14:00:16-04:00
trade,1.00,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1500,0.000000,0.009000,-0.040000,-0.049000,2026-07-20T14:21:56-04:00,2026-07-20T14:00:16-04:00
trade,5.33,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1500,0.000000,0.047601,-0.213200,-0.260801,2026-07-20T14:21:56-04:00,2026-07-20T14:00:16-04:00
trade,7.67,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.1500,0.000000,0.068499,-0.306800,-0.375299,2026-07-20T14:21:56-04:00,2026-07-20T14:00:40-04:00
trade,20.00,KXTEMPAUSH-26JUL2015-T91.99,no,0.0700,0.0100,0.000000,0.013900,-1.200000,-1.213900,2026-07-20T14:21:58-04:00,2026-07-20T14:09:44-04:00
trade,9.77,KXTEMPAUSH-26JUL2015-T92.99,no,0.1400,0.0400,0.000000,0.026300,-0.977000,-1.003300,2026-07-20T14:21:59-04:00,2026-07-20T14:09:44-04:00
trade,1.00,KXTEMPAUSH-26JUL2015-T92.99,no,0.1400,0.0200,0.000000,0.001400,-0.120000,-0.121400,2026-07-20T14:22:01-04:00,2026-07-20T14:09:44-04:00
trade,9.00,KXTEMPAUSH-26JUL2015-T92.99,no,0.1400,0.0200,0.000000,0.012400,-1.080000,-1.092400,2026-07-20T14:22:01-04:00,2026-07-20T14:09:44-04:00
trade,20.00,KXAAAGASW-26JUL27-4.060,no,0.0500,0.0500,0.000000,0.066500,0.000000,-0.066500,2026-07-20T14:22:02-04:00,2026-07-20T14:04:05-04:00
trade,0.29,KXAAAGASD-26JUL21-4.020,no,0.4200,0.3000,0.004951,0.000000,-0.034800,-0.039751,2026-07-20T15:45:48-04:00,2026-07-20T14:21:51-04:00
trade,1.38,KXAAAGASD-26JUL21-4.020,no,0.2900,0.3000,0.000000,0.000000,0.013800,0.013800,2026-07-20T15:45:48-04:00,2026-07-20T15:30:09-04:00
trade,8.33,KXAAAGASD-26JUL21-4.020,no,0.2900,0.3000,0.000000,0.000000,0.083300,0.083300,2026-07-20T15:45:48-04:00,2026-07-20T15:34:58-04:00
trade,0.23,KXTEMPAUSH-26JUL2015-T92.99,no,0.1400,0.0000,0.000000,0.000000,-0.032200,-0.032200,2026-07-20T16:20:49-04:00,2026-07-20T14:09:44-04:00
trade,5.47,KXAAAGASD-26JUL21-4.020,no,0.2900,0.3500,0.000000,0.000000,0.328200,0.328200,2026-07-20T17:48:25-04:00,2026-07-20T15:34:58-04:00
trade,0.97,KXAAAGASD-26JUL21-4.020,no,0.2900,0.3500,0.000000,0.000000,0.058200,0.058200,2026-07-20T17:48:25-04:00,2026-07-20T15:36:20-04:00
trade,2.68,KXAAAGASD-26JUL21-4.015,no,0.1800,0.1300,0.000000,0.000000,-0.134000,-0.134000,2026-07-20T17:58:52-04:00,2026-07-20T15:39:02-04:00
trade,3.56,KXAAAGASD-26JUL21-4.020,no,0.2900,0.3500,0.000000,0.000000,0.213600,0.213600,2026-07-20T18:03:10-04:00,2026-07-20T15:36:20-04:00
trade,1.40,KXAAAGASD-26JUL21-4.015,no,0.1800,0.1300,0.000000,0.000000,-0.070000,-0.070000,2026-07-20T18:06:58-04:00,2026-07-20T15:39:02-04:00
trade,15.92,KXAAAGASD-26JUL21-4.015,no,0.1800,0.1300,0.000000,0.000000,-0.796000,-0.796000,2026-07-20T18:06:58-04:00,2026-07-20T15:44:34-04:00
trade,5.61,KXTEMPAUSH-26JUL2021-T92.99,yes,0.7500,0.5100,0.000000,0.000000,-1.346400,-1.346400,2026-07-20T20:22:09-04:00,2026-07-20T20:14:12-04:00
trade,7.00,KXAAAGASD-26JUL21-4.010,no,0.0800,0.0400,0.000000,0.000000,-0.280000,-0.280000,2026-07-20T20:22:40-04:00,2026-07-20T15:44:30-04:00
trade,4.39,KXTEMPAUSH-26JUL2021-T92.99,yes,0.7500,0.5100,0.000000,0.000000,-1.053600,-1.053600,2026-07-20T20:28:00-04:00,2026-07-20T20:14:12-04:00
trade,1.00,KXTEMPAUSH-26JUL2021-T88.99,no,0.1100,0.0200,0.000000,0.001400,-0.090000,-0.091400,2026-07-20T20:34:10-04:00,2026-07-20T20:21:24-04:00
trade,19.00,KXTEMPAUSH-26JUL2021-T88.99,no,0.1100,0.0200,0.000000,0.026100,-1.710000,-1.736100,2026-07-20T20:34:10-04:00,2026-07-20T20:21:24-04:00
trade,5.00,KXTEMPAUSH-26JUL2021-T89.99,no,0.1400,0.1400,0.000000,0.042200,0.000000,-0.042200,2026-07-20T20:34:11-04:00,2026-07-20T20:15:11-04:00
trade,9.18,KXTEMPAUSH-26JUL2021-T89.99,no,0.1400,0.1400,0.000000,0.077400,0.000000,-0.077400,2026-07-20T20:34:11-04:00,2026-07-20T20:15:11-04:00
trade,5.00,KXTEMPAUSH-26JUL2021-T89.99,no,0.1400,0.1300,0.000000,0.039600,-0.050000,-0.089600,2026-07-20T20:34:12-04:00,2026-07-20T20:15:11-04:00
trade,5.00,KXTEMPAUSH-26JUL2021-T90.99,no,0.1400,0.1300,0.000000,0.039600,-0.050000,-0.089600,2026-07-20T20:34:14-04:00,2026-07-20T20:15:19-04:00
trade,1.00,KXTEMPAUSH-26JUL2021-T90.99,no,0.1400,0.1300,0.000000,0.007920,-0.010000,-0.017920,2026-07-20T20:34:14-04:00,2026-07-20T20:15:19-04:00
trade,14.00,KXTEMPAUSH-26JUL2021-T90.99,no,0.1400,0.1300,0.000000,0.110880,-0.140000,-0.250880,2026-07-20T20:34:14-04:00,2026-07-20T20:15:46-04:00
trade,20.00,KXTEMPAUSH-26JUL2021-T90.99,no,0.1300,0.1300,0.000000,0.158400,0.000000,-0.158400,2026-07-20T20:34:14-04:00,2026-07-20T20:17:08-04:00
